TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFLS+CDL/H:7,7,4.2,29.400000000000002
CR/LFLS+CDL/H:7/YBET:1974-1994,7,4.2,29.400000000000002
CR/LFLS+CDL/H:8,8,5.0,40.0
CR/LFLS+CDL/H:8/YBET:1974-1994,8,5.0,40.0
CR/LFLS+CDL/H:9,9,5.0,45.0
CR/LFLS+CDL/H:9/YBET:1974-1994,9,5.0,45.0
CR/LFLS+CDM/H:3,3,0.5,1.5
CR/LFLS+CDM/H:4,4,0.5,2.0
CR/LFLS+CDM/H:5,5,1.0,5.0
CR/LFLS+CDM/H:6,6,3.5,21.0
CR/LFLS+CDM/H:7,7,4.2,29.400000000000002
CR/LFLS+CDM/H:8,8,5.0,40.0
CR/LFLS+CDM/H:9,9,5.0,45.0
CR/LFLS+CDN/H:7,7,4.2,29.400000000000002
CR/LFLS+CDN/H:8,8,5.0,40.0
CR/LFLS+CDN/H:9,9,5.0,45.0
MCF/LWAL+CDH/H:1,1,1.0,1.0
MCF/LWAL+CDH/H:2,2,1.0,2.0
MCF/LWAL+CDH/H:3,3,0.5,1.5
MCF/LWAL+CDH/H:4,4,0.5,2.0
MCF/LWAL+CDH/H:5,5,1.0,5.0
MCF/LWAL+CDH/H:6,6,3.5,21.0
MCF/LWAL+CDM/H:1,1,1.0,1.0
MCF/LWAL+CDM/H:2,2,1.0,2.0
MCF/LWAL+CDM/H:3,3,0.5,1.5
MCF/LWAL+CDM/H:4,4,0.5,2.0
MCF/LWAL+CDM/H:5,5,1.0,5.0
MCF/LWAL+CDM/H:6,6,3.5,21.0
MUR+CL/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2,2,1.0,2.0
MUR+CL/LWAL+CDN/H:3,3,0.5,1.5
MUR+CL/LWAL+CDN/H:4,4,0.5,2.0
MUR+CL/LWAL+CDN/H:5,5,1.0,5.0
MUR+CL/LWAL+CDN/H:6,6,3.5,21.0
MUR+ST/LWAL+CDN/H:1,1,1.0,1.0
MUR+ST/LWAL+CDN/H:2,2,1.0,2.0
MUR+ST/LWAL+CDN/H:3,3,0.5,1.5
MUR+ST/LWAL+CDN/H:4,4,0.5,2.0
MUR+ST/LWAL+CDN/H:5,5,1.0,5.0
MUR+ST/LWAL+CDN/H:6,6,3.5,21.0
CR/LFLS+CDN/H:2,2,1.0,2.0
CR/LFLS+CDN/H:3,3,0.5,1.5
CR/LFLS+CDN/H:4,4,0.5,2.0
CR/LFLS+CDN/H:5,5,1.0,5.0
CR/LFLS+CDN/H:6,6,3.5,21.0
